emotion,intensity,socialInteraction,productivity,overwhelmed,recentThoughts,context,duration,moodLabel,recommendation1,recommendation2,recommendation3
Stressed,5,Occasionally,Yes,No,Feeling unprepared for an event,Community center,1 week,Negative,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Frustrated,5,Often,No,No,Unexpected obstacles,Social gathering,3 days,Negative,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Neutral,2,Never,No,No,Feeling indifferent,Gym,1 day,Neutral,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Anxious,4,Rarely,Unsure,No,Major decision,Community center,3 days,Negative,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Sad,9,Often,Unsure,Yes,Received disappointing news,Park,3 days,Negative,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Content,4,Occasionally,No,Yes,Feeling in harmony with surroundings,Home,2 days,Positive,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Excited,3,Rarely,No,No,Celebrating a success,Gym,3 days,Positive,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Stressed,2,Often,No,Yes,Worrying about future plans,Family event,1 day,Negative,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Neutral,6,Occasionally,No,No,Filling out paperwork,Park,3 days,Neutral,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Excited,2,Often,Unsure,No,Joining a new group,Home,1 day,Positive,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Overwhelmed,7,Frequently,No,No,Managing conflicts,Gym,3 days,Negative,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Happy,2,Frequently,Unsure,No,Played a favorite game,Social gathering,2 weeks,Positive,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Sad,2,Never,Yes,No,Had a bad day at work,Coffee shop,2 weeks,Negative,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Frustrated,8,Occasionally,No,Yes,Running out of patience,Home,2 weeks,Negative,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Relaxed,6,Occasionally,Yes,Yes,Organized my space calmly,Gym,2 days,Positive,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Neutral,2,Often,No,Yes,Feeling indifferent,Park,1 month,Neutral,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Angry,4,Rarely,Unsure,Yes,Experiencing a betrayal,Social gathering,2 days,Negative,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Relaxed,1,Frequently,No,Yes,Baked something enjoyable,Outside,2 days,Positive,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Anxious,1,Rarely,Unsure,Yes,Starting a new job,School,2 days,Negative,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Content,7,Never,Yes,No,Taking a long walk,Outside,1 week,Positive,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Happy,7,Frequently,Unsure,No,Played a favorite game,Family event,3 days,Positive,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Excited,6,Rarely,Yes,No,Excited about a hobby,Work,2 weeks,Positive,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Hopeful,5,Often,Yes,Yes,Inspired by others,Family event,1 week,Positive,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Anxious,10,Rarely,Unsure,Yes,Important meeting,Park,2 weeks,Negative,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Hopeful,8,Occasionally,No,No,Believing in better days,Social gathering,1 week,Positive,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Curious,5,Often,No,No,Learning something new,Gym,1 day,Neutral,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Frustrated,3,Frequently,Yes,No,Facing difficulties in collaboration,Family event,1 month,Negative,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Happy,2,Occasionally,No,Yes,Enjoyed favorite hobby,Family event,1 month,Positive,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Bored,8,Often,Unsure,No,Daydreaming,Gym,2 weeks,Negative,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Anxious,7,Often,Unsure,No,Major decision,School,1 day,Negative,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Disappointed,10,Occasionally,Yes,No,Dealing with unmet promises,Social gathering,2 days,Negative,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Content,1,Frequently,Yes,Yes,Everything in order,Coffee shop,1 month,Positive,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Angry,1,Rarely,No,No,Feeling frustrated with oneself,Outside,1 month,Negative,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Hopeful,9,Occasionally,Unsure,No,Inspired by others,Coffee shop,3 days,Positive,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Neutral,8,Never,No,No,Quiet day at home,School,2 days,Neutral,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Disappointed,4,Frequently,No,Yes,Unfulfilled expectations,Park,1 month,Negative,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Neutral,6,Occasionally,Yes,No,Listening to background music,Park,3 days,Neutral,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Happy,4,Rarely,No,No,Made someone smile,Community center,1 month,Positive,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Sad,10,Never,No,Yes,Remembered a sad event,School,1 day,Negative,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Curious,6,Often,No,No,Trying out new recipes,Family event,2 weeks,Neutral,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Angry,10,Rarely,Yes,Yes,Injustice at work,Coffee shop,2 weeks,Negative,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Bored,3,Frequently,Unsure,Yes,Same old routine,Community center,3 days,Negative,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Relaxed,7,Occasionally,No,Yes,Had a spa day,Social gathering,2 days,Positive,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Frustrated,8,Often,Yes,No,Feeling unsupported,Park,1 month,Negative,https://positivepsychology.com/emotional-maturity/,The future belongs to those who believe in the beauty of their dreams.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Content,1,Occasionally,Unsure,Yes,Feeling in harmony with surroundings,Social gathering,2 weeks,Positive,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Content,8,Frequently,No,Yes,Everything in order,School,1 week,Positive,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Stressed,10,Rarely,Yes,Yes,Not enough time for self-care,Home,3 days,Negative,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Relaxed,4,Rarely,Unsure,Yes,Felt free from stress,Gym,1 day,Positive,https://positivepsychology.com/emotional-maturity/,Don't watch the clock; do what it does. Keep going.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Neutral,8,Rarely,Yes,No,Nothing special happened,Family event,1 week,Neutral,https://positivepsychology.com/emotional-maturity/,"You are braver than you believe, stronger than you seem, and smarter than you think.","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
Angry,9,Often,Yes,Yes,Frustration over delays,Coffee shop,1 month,Negative,https://positivepsychology.com/emotional-maturity/,Believe you can and you're halfway there.,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1pzvpQEmn2TDm65aaBfIdi?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
