emotion,intensity,socialInteraction,productivity,overwhelmed,RId
happy,4,occasionally,yes,no,happy3
happy,4,occasionally,no,yes,happy4
happy,4,occasionally,no,no,happy3
happy,4,occasionally,unsure,yes,happy3
happy,4,occasionally,unsure,no,happy3
happy,4,frequently,yes,yes,happy3
happy,4,frequently,yes,no,happy3
happy,4,frequently,no,yes,happy3
happy,4,frequently,no,no,happy3
happy,4,frequently,unsure,yes,happy3
happy,4,frequently,unsure,no,happy3
happy,5,rarely,yes,yes,happy3
happy,5,rarely,yes,no,happy3
happy,5,rarely,no,yes,happy3
happy,5,rarely,no,no,happy3
happy,5,rarely,unsure,yes,happy3
happy,5,rarely,unsure,no,happy3
happy,5,occasionally,yes,yes,happy3
happy,5,occasionally,yes,no,happy3
happy,5,occasionally,no,yes,happy3
happy,5,occasionally,no,no,happy3
happy,5,occasionally,unsure,yes,happy3
happy,5,occasionally,unsure,no,happy3
happy,5,frequently,yes,yes,happy3
happy,5,frequently,yes,no,happy3
happy,5,frequently,no,yes,happy3
happy,5,frequently,no,no,happy3
happy,5,frequently,unsure,yes,happy5
happy,5,frequently,unsure,no,happy3
happy,6,rarely,yes,yes,happy4
happy,6,rarely,yes,no,happy5
happy,6,rarely,no,yes,happy4
happy,6,rarely,no,no,happy4
happy,6,rarely,unsure,yes,happy4
happy,6,rarely,unsure,no,happy4
happy,6,occasionally,yes,yes,happy2
happy,6,occasionally,yes,no,happy4
happy,6,occasionally,no,yes,happy2
happy,6,occasionally,no,no,happy4
happy,6,occasionally,unsure,yes,happy4
happy,6,occasionally,unsure,no,happy4
happy,6,frequently,yes,yes,happy4
happy,6,frequently,yes,no,happy2
happy,6,frequently,no,yes,happy4
happy,6,frequently,no,no,happy4
happy,6,frequently,unsure,yes,happy4
happy,6,frequently,unsure,no,happy4
happy,7,rarely,yes,yes,happy4
happy,7,rarely,yes,no,happy5
happy,7,rarely,no,yes,happy4
happy,7,rarely,no,no,happy4
happy,7,rarely,unsure,yes,happy4
happy,7,rarely,unsure,no,happy4
happy,7,occasionally,yes,yes,happy4
happy,7,occasionally,yes,no,happy4
happy,7,occasionally,no,yes,happy3
happy,7,occasionally,no,no,happy4
happy,7,occasionally,unsure,yes,happy4
happy,7,occasionally,unsure,no,happy4
happy,7,frequently,yes,yes,happy4
happy,7,frequently,yes,no,happy4
happy,7,frequently,no,yes,happy4
happy,7,frequently,no,no,happy4
happy,7,frequently,unsure,yes,happy4
happy,7,frequently,unsure,no,happy4
happy,8,rarely,yes,yes,happy5
happy,8,rarely,yes,no,happy5
happy,8,rarely,no,yes,happy5
happy,8,rarely,no,no,happy5
happy,8,rarely,unsure,yes,happy5
happy,8,rarely,unsure,no,happy5
happy,8,occasionally,yes,yes,happy5
happy,8,occasionally,yes,no,happy4
happy,8,occasionally,no,yes,happy5
happy,8,occasionally,no,no,happy5
happy,8,occasionally,unsure,yes,happy5
happy,8,occasionally,unsure,no,happy4
happy,8,frequently,yes,yes,happy5
happy,8,frequently,yes,no,happy5
happy,8,frequently,no,yes,happy5
happy,8,frequently,no,no,happy5
happy,8,frequently,unsure,yes,happy5
happy,8,frequently,unsure,no,happy5
happy,9,rarely,yes,yes,happy1
happy,9,rarely,yes,no,happy5
happy,9,rarely,no,yes,happy5
happy,9,rarely,no,no,happy5
happy,9,rarely,unsure,yes,happy5
happy,9,rarely,unsure,no,happy5
happy,9,occasionally,yes,yes,happy5
happy,9,occasionally,yes,no,happy5
happy,9,occasionally,no,yes,happy5
happy,9,occasionally,no,no,happy5
happy,9,occasionally,unsure,yes,happy5
happy,9,occasionally,unsure,no,happy5
happy,9,frequently,yes,yes,happy2
happy,9,frequently,yes,no,happy5
happy,9,frequently,no,yes,happy5
happy,9,frequently,no,no,happy5
happy,9,frequently,unsure,yes,happy5
happy,9,frequently,unsure,no,happy5
happy,10,rarely,yes,yes,happy5
happy,10,rarely,yes,no,happy5
happy,10,rarely,no,yes,happy5
happy,10,rarely,no,no,happy5
happy,10,rarely,unsure,yes,happy2
happy,10,rarely,unsure,no,happy2
happy,10,occasionally,yes,yes,happy5
happy,10,occasionally,yes,no,happy4
happy,10,occasionally,no,yes,happy5
happy,10,occasionally,no,no,happy5
happy,10,occasionally,unsure,yes,happy5
happy,10,occasionally,unsure,no,happy5
happy,10,frequently,yes,yes,happy5
happy,10,frequently,yes,no,happy5
happy,10,frequently,no,yes,happy3
happy,10,frequently,no,no,happy5
happy,10,frequently,unsure,yes,happy4
happy,10,frequently,unsure,no,happy1
neutral,1,rarely,yes,yes,neutral1
neutral,1,rarely,yes,no,neutral1
neutral,1,rarely,no,yes,neutral1
neutral,1,rarely,no,no,neutral1
neutral,1,rarely,unsure,yes,neutral1
neutral,1,rarely,unsure,no,neutral1
neutral,1,occasionally,yes,yes,neutral1
neutral,1,occasionally,yes,no,neutral1
neutral,1,occasionally,no,yes,neutral1
neutral,1,occasionally,no,no,neutral2
neutral,1,occasionally,unsure,yes,neutral2
neutral,1,occasionally,unsure,no,neutral1
neutral,1,frequently,yes,yes,neutral1
neutral,1,frequently,yes,no,neutral1
neutral,1,frequently,no,yes,neutral1
neutral,1,frequently,no,no,neutral5
neutral,1,frequently,unsure,yes,neutral1
neutral,1,frequently,unsure,no,neutral1
neutral,2,rarely,yes,yes,neutral5
neutral,2,rarely,yes,no,neutral2
neutral,2,rarely,no,yes,neutral2
neutral,2,rarely,no,no,neutral1
neutral,2,rarely,unsure,yes,neutral2
neutral,2,rarely,unsure,no,neutral2
neutral,2,occasionally,yes,yes,neutral2
neutral,2,occasionally,yes,no,neutral3
neutral,2,occasionally,no,yes,neutral2
neutral,2,occasionally,no,no,neutral2
neutral,2,occasionally,unsure,yes,neutral2
neutral,2,occasionally,unsure,no,neutral2
neutral,2,frequently,yes,yes,neutral2
neutral,2,frequently,yes,no,neutral2
neutral,2,frequently,no,yes,neutral2
neutral,2,frequently,no,no,neutral2
neutral,2,frequently,unsure,yes,neutral4
neutral,2,frequently,unsure,no,neutral2
neutral,3,rarely,yes,yes,neutral5
neutral,3,rarely,yes,no,neutral2
neutral,3,rarely,no,yes,neutral2
neutral,3,rarely,no,no,neutral2
neutral,3,rarely,unsure,yes,neutral3
neutral,3,rarely,unsure,no,neutral2
neutral,3,occasionally,yes,yes,neutral2
neutral,3,occasionally,yes,no,neutral2
neutral,3,occasionally,no,yes,neutral2
neutral,3,occasionally,no,no,neutral2
neutral,3,occasionally,unsure,yes,neutral2
neutral,3,occasionally,unsure,no,neutral1
neutral,3,frequently,yes,yes,neutral2
neutral,3,frequently,yes,no,neutral1
neutral,3,frequently,no,yes,neutral2
neutral,3,frequently,no,no,neutral2
neutral,3,frequently,unsure,yes,neutral2
neutral,3,frequently,unsure,no,neutral4
neutral,4,rarely,yes,yes,neutral3
neutral,4,rarely,yes,no,neutral3
neutral,4,rarely,no,yes,neutral3
neutral,4,rarely,no,no,neutral4
neutral,4,rarely,unsure,yes,neutral3
neutral,4,rarely,unsure,no,neutral3
neutral,4,occasionally,yes,yes,neutral3
neutral,4,occasionally,yes,no,neutral3
neutral,4,occasionally,no,yes,neutral3
neutral,4,occasionally,no,no,neutral3
neutral,4,occasionally,unsure,yes,neutral3
neutral,4,occasionally,unsure,no,neutral3
neutral,4,frequently,yes,yes,neutral4
neutral,4,frequently,yes,no,neutral4
neutral,4,frequently,no,yes,neutral3
neutral,4,frequently,no,no,neutral3
neutral,4,frequently,unsure,yes,neutral3
neutral,4,frequently,unsure,no,neutral4
neutral,5,rarely,yes,yes,neutral5
neutral,5,rarely,yes,no,neutral3
neutral,5,rarely,no,yes,neutral3
neutral,5,rarely,no,no,neutral3
neutral,5,rarely,unsure,yes,neutral3
neutral,5,rarely,unsure,no,neutral3
neutral,5,occasionally,yes,yes,neutral3
neutral,5,occasionally,yes,no,neutral1
neutral,5,occasionally,no,yes,neutral3
neutral,5,occasionally,no,no,neutral3
neutral,5,occasionally,unsure,yes,neutral3
neutral,5,occasionally,unsure,no,neutral3
neutral,5,frequently,yes,yes,neutral3
neutral,5,frequently,yes,no,neutral1
neutral,5,frequently,no,yes,neutral3
neutral,5,frequently,no,no,neutral3
neutral,5,frequently,unsure,yes,neutral3
neutral,5,frequently,unsure,no,neutral3
neutral,6,rarely,yes,yes,neutral4
neutral,6,rarely,yes,no,neutral4
neutral,6,rarely,no,yes,neutral1
neutral,6,rarely,no,no,neutral1
neutral,6,rarely,unsure,yes,neutral1
neutral,6,rarely,unsure,no,neutral4
neutral,6,occasionally,yes,yes,neutral4
neutral,6,occasionally,yes,no,neutral4
neutral,6,occasionally,no,yes,neutral2
neutral,6,occasionally,no,no,neutral1
neutral,6,occasionally,unsure,yes,neutral4
neutral,6,occasionally,unsure,no,neutral4
neutral,6,frequently,yes,yes,neutral4
neutral,6,frequently,yes,no,neutral4
neutral,6,frequently,no,yes,neutral4
neutral,6,frequently,no,no,neutral1
neutral,6,frequently,unsure,yes,neutral4
neutral,6,frequently,unsure,no,neutral4
neutral,7,rarely,yes,yes,neutral4
neutral,7,rarely,yes,no,neutral4
neutral,7,rarely,no,yes,neutral4
neutral,7,rarely,no,no,neutral4
neutral,7,rarely,unsure,yes,neutral4
neutral,7,rarely,unsure,no,neutral3
neutral,7,occasionally,yes,yes,neutral4
neutral,7,occasionally,yes,no,neutral1
neutral,7,occasionally,no,yes,neutral4
neutral,7,occasionally,no,no,neutral4
neutral,7,occasionally,unsure,yes,neutral4
neutral,7,occasionally,unsure,no,neutral4
neutral,7,frequently,yes,yes,neutral4
neutral,7,frequently,yes,no,neutral4
neutral,7,frequently,no,yes,neutral4
neutral,7,frequently,no,no,neutral4
neutral,7,frequently,unsure,yes,neutral4
neutral,7,frequently,unsure,no,neutral4
neutral,8,rarely,yes,yes,neutral5
neutral,8,rarely,yes,no,neutral5
neutral,8,rarely,no,yes,neutral5
neutral,8,rarely,no,no,neutral5
neutral,8,rarely,unsure,yes,neutral4
neutral,8,rarely,unsure,no,neutral5
neutral,8,occasionally,yes,yes,neutral5
neutral,8,occasionally,yes,no,neutral5
neutral,8,occasionally,no,yes,neutral5
neutral,8,occasionally,no,no,neutral5
neutral,8,occasionally,unsure,yes,neutral5
neutral,8,occasionally,unsure,no,neutral5
neutral,8,frequently,yes,yes,neutral2
neutral,8,frequently,yes,no,neutral4
neutral,8,frequently,no,yes,neutral5
neutral,8,frequently,no,no,neutral3
neutral,8,frequently,unsure,yes,neutral5
neutral,8,frequently,unsure,no,neutral5
neutral,9,rarely,yes,yes,neutral5
neutral,9,rarely,yes,no,neutral5
neutral,9,rarely,no,yes,neutral5
neutral,9,rarely,no,no,neutral5
neutral,9,rarely,unsure,yes,neutral5
neutral,9,rarely,unsure,no,neutral5
neutral,9,occasionally,yes,yes,neutral5
neutral,9,occasionally,yes,no,neutral5
neutral,9,occasionally,no,yes,neutral5
neutral,9,occasionally,no,no,neutral5
neutral,9,occasionally,unsure,yes,neutral5
neutral,9,occasionally,unsure,no,neutral2
neutral,9,frequently,yes,yes,neutral5
neutral,9,frequently,yes,no,neutral5
neutral,9,frequently,no,yes,neutral5
neutral,9,frequently,no,no,neutral5
neutral,9,frequently,unsure,yes,neutral5
neutral,9,frequently,unsure,no,neutral5
neutral,10,rarely,yes,yes,neutral5
neutral,10,rarely,yes,no,neutral5
neutral,10,rarely,no,yes,neutral5
neutral,10,rarely,no,no,neutral5
neutral,10,rarely,unsure,yes,neutral5
neutral,10,rarely,unsure,no,neutral5
neutral,10,occasionally,yes,yes,neutral3
neutral,10,occasionally,yes,no,neutral5
neutral,10,occasionally,no,yes,neutral5
neutral,10,occasionally,no,no,neutral5
neutral,10,occasionally,unsure,yes,neutral5
neutral,10,occasionally,unsure,no,neutral5
neutral,10,frequently,yes,yes,neutral5
neutral,10,frequently,yes,no,neutral5
neutral,10,frequently,no,yes,neutral5
neutral,10,frequently,no,no,neutral5
neutral,10,frequently,unsure,yes,neutral5
neutral,10,frequently,unsure,no,neutral5
sad,1,rarely,yes,yes,sad1
sad,1,rarely,yes,no,sad5
sad,1,rarely,no,yes,sad1
sad,1,rarely,no,no,sad3
sad,1,rarely,unsure,yes,sad1
sad,1,rarely,unsure,no,sad1
sad,1,occasionally,yes,yes,sad5
sad,1,occasionally,yes,no,sad1
sad,1,occasionally,no,yes,sad4
sad,1,occasionally,no,no,sad1
sad,1,occasionally,unsure,yes,sad1
sad,1,occasionally,unsure,no,sad4
sad,1,frequently,yes,yes,sad1
sad,1,frequently,yes,no,sad1
sad,1,frequently,no,yes,sad1
sad,1,frequently,no,no,sad1
sad,1,frequently,unsure,yes,sad1
sad,1,frequently,unsure,no,sad1
sad,2,rarely,yes,yes,sad2
sad,2,rarely,yes,no,sad2
sad,2,rarely,no,yes,sad2
sad,2,rarely,no,no,sad2
sad,2,rarely,unsure,yes,sad2
sad,2,rarely,unsure,no,sad2
sad,2,occasionally,yes,yes,sad2
sad,2,occasionally,yes,no,sad2
sad,2,occasionally,no,yes,sad2
sad,2,occasionally,no,no,sad2
sad,2,occasionally,unsure,yes,sad4
sad,2,occasionally,unsure,no,sad2
sad,2,frequently,yes,yes,sad2
sad,2,frequently,yes,no,sad1
sad,2,frequently,no,yes,sad2
sad,2,frequently,no,no,sad1
sad,2,frequently,unsure,yes,sad2
sad,2,frequently,unsure,no,sad2
sad,3,rarely,yes,yes,sad2
sad,3,rarely,yes,no,sad2
sad,3,rarely,no,yes,sad2
sad,3,rarely,no,no,sad2
sad,3,rarely,unsure,yes,sad2
sad,3,rarely,unsure,no,sad1
sad,3,occasionally,yes,yes,sad2
sad,3,occasionally,yes,no,sad2
sad,3,occasionally,no,yes,sad2
sad,3,occasionally,no,no,sad2
sad,3,occasionally,unsure,yes,sad2
sad,3,occasionally,unsure,no,sad2
sad,3,frequently,yes,yes,sad1
sad,3,frequently,yes,no,sad2
sad,3,frequently,no,yes,sad2
sad,3,frequently,no,no,sad2
sad,3,frequently,unsure,yes,sad5
sad,3,frequently,unsure,no,sad5
sad,4,rarely,yes,yes,sad3
sad,4,rarely,yes,no,sad3
sad,4,rarely,no,yes,sad1
sad,4,rarely,no,no,sad3
sad,4,rarely,unsure,yes,sad3
sad,4,rarely,unsure,no,sad3
sad,4,occasionally,yes,yes,sad3
sad,4,occasionally,yes,no,sad3
sad,4,occasionally,no,yes,sad2
sad,4,occasionally,no,no,sad1
sad,4,occasionally,unsure,yes,sad1
sad,4,occasionally,unsure,no,sad3
sad,4,frequently,yes,yes,sad3
sad,4,frequently,yes,no,sad3
sad,4,frequently,no,yes,sad3
sad,4,frequently,no,no,sad3
sad,4,frequently,unsure,yes,sad5
sad,4,frequently,unsure,no,sad3
sad,5,rarely,yes,yes,sad3
sad,5,rarely,yes,no,sad3
sad,5,rarely,no,yes,sad3
sad,5,rarely,no,no,sad3
sad,5,rarely,unsure,yes,sad2
sad,5,rarely,unsure,no,sad3
sad,5,occasionally,yes,yes,sad3
sad,5,occasionally,yes,no,sad3
sad,5,occasionally,no,yes,sad3
sad,5,occasionally,no,no,sad3
sad,5,occasionally,unsure,yes,sad3
sad,5,occasionally,unsure,no,sad3
sad,5,frequently,yes,yes,sad2
sad,5,frequently,yes,no,sad3
sad,5,frequently,no,yes,sad3
sad,5,frequently,no,no,sad3
sad,5,frequently,unsure,yes,sad3
sad,5,frequently,unsure,no,sad3
sad,6,rarely,yes,yes,sad4
sad,6,rarely,yes,no,sad4
sad,6,rarely,no,yes,sad4
sad,6,rarely,no,no,sad4
sad,6,rarely,unsure,yes,sad4
sad,6,rarely,unsure,no,sad4
sad,6,occasionally,yes,yes,sad4
sad,6,occasionally,yes,no,sad4
sad,6,occasionally,no,yes,sad4
sad,6,occasionally,no,no,sad4
sad,6,occasionally,unsure,yes,sad4
sad,6,occasionally,unsure,no,sad4
sad,6,frequently,yes,yes,sad4
sad,6,frequently,yes,no,sad4
sad,6,frequently,no,yes,sad4
sad,6,frequently,no,no,sad4
sad,6,frequently,unsure,yes,sad4
sad,6,frequently,unsure,no,sad5
sad,7,rarely,yes,yes,sad4
sad,7,rarely,yes,no,sad4
sad,7,rarely,no,yes,sad4
sad,7,rarely,no,no,sad4
sad,7,rarely,unsure,yes,sad4
sad,7,rarely,unsure,no,sad1
sad,7,occasionally,yes,yes,sad4
sad,7,occasionally,yes,no,sad4
sad,7,occasionally,no,yes,sad2
sad,7,occasionally,no,no,sad5
sad,7,occasionally,unsure,yes,sad3
sad,7,occasionally,unsure,no,sad1
sad,7,frequently,yes,yes,sad4
sad,7,frequently,yes,no,sad4
sad,7,frequently,no,yes,sad4
sad,7,frequently,no,no,sad4
sad,7,frequently,unsure,yes,sad2
sad,7,frequently,unsure,no,sad4
sad,8,rarely,yes,yes,sad5
sad,8,rarely,yes,no,sad5
sad,8,rarely,no,yes,sad5
sad,8,rarely,no,no,sad5
sad,8,rarely,unsure,yes,sad5
sad,8,rarely,unsure,no,sad5
sad,8,occasionally,yes,yes,sad5
sad,8,occasionally,yes,no,sad5
sad,8,occasionally,no,yes,sad5
sad,8,occasionally,no,no,sad5
sad,8,occasionally,unsure,yes,sad5
sad,8,occasionally,unsure,no,sad5
sad,8,frequently,yes,yes,sad5
sad,8,frequently,yes,no,sad5
sad,8,frequently,no,yes,sad5
sad,8,frequently,no,no,sad5
sad,8,frequently,unsure,yes,sad5
sad,8,frequently,unsure,no,sad5
sad,9,rarely,yes,yes,sad4
sad,9,rarely,yes,no,sad5
sad,9,rarely,no,yes,sad5
sad,9,rarely,no,no,sad5
sad,9,rarely,unsure,yes,sad5
sad,9,rarely,unsure,no,sad5
sad,9,occasionally,yes,yes,sad5
sad,9,occasionally,yes,no,sad5
sad,9,occasionally,no,yes,sad2
sad,9,occasionally,no,no,sad5
sad,9,occasionally,unsure,yes,sad3
sad,9,occasionally,unsure,no,sad5
sad,9,frequently,yes,yes,sad5
sad,9,frequently,yes,no,sad5
sad,9,frequently,no,yes,sad3
sad,9,frequently,no,no,sad5
sad,9,frequently,unsure,yes,sad5
sad,9,frequently,unsure,no,sad4
sad,10,rarely,yes,yes,sad5
sad,10,rarely,yes,no,sad1
sad,10,rarely,no,yes,sad5
sad,10,rarely,no,no,sad5
sad,10,rarely,unsure,yes,sad5
sad,10,rarely,unsure,no,sad2
sad,10,occasionally,yes,yes,sad5
sad,10,occasionally,yes,no,sad5
sad,10,occasionally,no,yes,sad5
sad,10,occasionally,no,no,sad5
sad,10,occasionally,unsure,yes,sad5
sad,10,occasionally,unsure,no,sad2
sad,10,frequently,yes,yes,sad5
sad,10,frequently,yes,no,sad5
sad,10,frequently,no,yes,sad5
sad,10,frequently,no,no,sad5
sad,10,frequently,unsure,yes,sad5
sad,10,frequently,unsure,no,sad5
stressed,1,rarely,yes,yes,stressed1
stressed,1,rarely,yes,no,stressed1
stressed,1,rarely,no,yes,stressed3
stressed,1,rarely,no,no,stressed1
stressed,1,rarely,unsure,yes,stressed1
stressed,1,rarely,unsure,no,stressed1
stressed,1,occasionally,yes,yes,stressed1
stressed,1,occasionally,yes,no,stressed1
stressed,1,occasionally,no,yes,stressed4
stressed,1,occasionally,no,no,stressed1
stressed,1,occasionally,unsure,yes,stressed1
stressed,1,occasionally,unsure,no,stressed1
stressed,1,frequently,yes,yes,stressed3
stressed,1,frequently,yes,no,stressed1
stressed,1,frequently,no,yes,stressed3
stressed,1,frequently,no,no,stressed1
stressed,1,frequently,unsure,yes,stressed1
stressed,1,frequently,unsure,no,stressed2
stressed,2,rarely,yes,yes,stressed2
stressed,2,rarely,yes,no,stressed5
stressed,2,rarely,no,yes,stressed2
stressed,2,rarely,no,no,stressed4
stressed,2,rarely,unsure,yes,stressed2
stressed,2,rarely,unsure,no,stressed2
stressed,2,occasionally,yes,yes,stressed4
stressed,2,occasionally,yes,no,stressed2
stressed,2,occasionally,no,yes,stressed3
stressed,2,occasionally,no,no,stressed2
stressed,2,occasionally,unsure,yes,stressed2
stressed,2,occasionally,unsure,no,stressed4
stressed,2,frequently,yes,yes,stressed2
stressed,2,frequently,yes,no,stressed2
stressed,2,frequently,no,yes,stressed2
stressed,2,frequently,no,no,stressed2
stressed,2,frequently,unsure,yes,stressed2
stressed,2,frequently,unsure,no,stressed2
stressed,3,rarely,yes,yes,stressed2
stressed,3,rarely,yes,no,stressed2
stressed,3,rarely,no,yes,stressed2
stressed,3,rarely,no,no,stressed2
stressed,3,rarely,unsure,yes,stressed2
stressed,3,rarely,unsure,no,stressed2
stressed,3,occasionally,yes,yes,stressed2
stressed,3,occasionally,yes,no,stressed2
stressed,3,occasionally,no,yes,stressed4
stressed,3,occasionally,no,no,stressed2
stressed,3,occasionally,unsure,yes,stressed3
stressed,3,occasionally,unsure,no,stressed4
stressed,3,frequently,yes,yes,stressed2
stressed,3,frequently,yes,no,stressed2
stressed,3,frequently,no,yes,stressed2
stressed,3,frequently,no,no,stressed2
stressed,3,frequently,unsure,yes,stressed2
stressed,3,frequently,unsure,no,stressed2
stressed,4,rarely,yes,yes,stressed3
stressed,4,rarely,yes,no,stressed3
stressed,4,rarely,no,yes,stressed4
stressed,4,rarely,no,no,stressed3
stressed,4,rarely,unsure,yes,stressed3
stressed,4,rarely,unsure,no,stressed3
stressed,4,occasionally,yes,yes,stressed3
stressed,4,occasionally,yes,no,stressed3
stressed,4,occasionally,no,yes,stressed3
stressed,4,occasionally,no,no,stressed4
stressed,4,occasionally,unsure,yes,stressed3
stressed,4,occasionally,unsure,no,stressed3
stressed,4,frequently,yes,yes,stressed2
stressed,4,frequently,yes,no,stressed3
stressed,4,frequently,no,yes,stressed3
stressed,4,frequently,no,no,stressed5
stressed,4,frequently,unsure,yes,stressed3
stressed,4,frequently,unsure,no,stressed3
stressed,5,rarely,yes,yes,stressed3
stressed,5,rarely,yes,no,stressed3
stressed,5,rarely,no,yes,stressed3
stressed,5,rarely,no,no,stressed3
stressed,5,rarely,unsure,yes,stressed3
stressed,5,rarely,unsure,no,stressed5
stressed,5,occasionally,yes,yes,stressed3
stressed,5,occasionally,yes,no,stressed3
stressed,5,occasionally,no,yes,stressed4
stressed,5,occasionally,no,no,stressed3
stressed,5,occasionally,unsure,yes,stressed3
stressed,5,occasionally,unsure,no,stressed3
stressed,5,frequently,yes,yes,stressed3
stressed,5,frequently,yes,no,stressed3
stressed,5,frequently,no,yes,stressed5
stressed,5,frequently,no,no,stressed3
stressed,5,frequently,unsure,yes,stressed3
stressed,5,frequently,unsure,no,stressed3
stressed,6,rarely,yes,yes,stressed4
stressed,6,rarely,yes,no,stressed4
stressed,6,rarely,no,yes,stressed4
stressed,6,rarely,no,no,stressed4
stressed,6,rarely,unsure,yes,stressed4
stressed,6,rarely,unsure,no,stressed4
stressed,6,occasionally,yes,yes,stressed2
stressed,6,occasionally,yes,no,stressed4
stressed,6,occasionally,no,yes,stressed4
stressed,6,occasionally,no,no,stressed4
stressed,6,occasionally,unsure,yes,stressed4
stressed,6,occasionally,unsure,no,stressed4
stressed,6,frequently,yes,yes,stressed4
stressed,6,frequently,yes,no,stressed4
stressed,6,frequently,no,yes,stressed4
stressed,6,frequently,no,no,stressed4
stressed,6,frequently,unsure,yes,stressed4
stressed,6,frequently,unsure,no,stressed4
stressed,7,rarely,yes,yes,stressed5
stressed,7,rarely,yes,no,stressed4
stressed,7,rarely,no,yes,stressed5
stressed,7,rarely,no,no,stressed4
stressed,7,rarely,unsure,yes,stressed2
stressed,7,rarely,unsure,no,stressed4
stressed,7,occasionally,yes,yes,stressed4
stressed,7,occasionally,yes,no,stressed4
stressed,7,occasionally,no,yes,stressed4
stressed,7,occasionally,no,no,stressed4
stressed,7,occasionally,unsure,yes,stressed4
stressed,7,occasionally,unsure,no,stressed4
stressed,7,frequently,yes,yes,stressed4
stressed,7,frequently,yes,no,stressed1
stressed,7,frequently,no,yes,stressed4
stressed,7,frequently,no,no,stressed4
stressed,7,frequently,unsure,yes,stressed4
stressed,7,frequently,unsure,no,stressed2
stressed,8,rarely,yes,yes,stressed5
stressed,8,rarely,yes,no,stressed5
stressed,8,rarely,no,yes,stressed5
stressed,8,rarely,no,no,stressed5
stressed,8,rarely,unsure,yes,stressed2
stressed,8,rarely,unsure,no,stressed5
stressed,8,occasionally,yes,yes,stressed5
stressed,8,occasionally,yes,no,stressed2
stressed,8,occasionally,no,yes,stressed5
stressed,8,occasionally,no,no,stressed5
stressed,8,occasionally,unsure,yes,stressed5
stressed,8,occasionally,unsure,no,stressed5
stressed,8,frequently,yes,yes,stressed5
stressed,8,frequently,yes,no,stressed5
stressed,8,frequently,no,yes,stressed5
stressed,8,frequently,no,no,stressed5
stressed,8,frequently,unsure,yes,stressed5
stressed,8,frequently,unsure,no,stressed5
stressed,9,rarely,yes,yes,stressed5
stressed,9,rarely,yes,no,stressed5
stressed,9,rarely,no,yes,stressed5
stressed,9,rarely,no,no,stressed5
stressed,9,rarely,unsure,yes,stressed5
stressed,9,rarely,unsure,no,stressed5
stressed,9,occasionally,yes,yes,stressed5
stressed,9,occasionally,yes,no,stressed5
stressed,9,occasionally,no,yes,stressed5
stressed,9,occasionally,no,no,stressed5
stressed,9,occasionally,unsure,yes,stressed5
stressed,9,occasionally,unsure,no,stressed5
stressed,9,frequently,yes,yes,stressed5
stressed,9,frequently,yes,no,stressed5
stressed,9,frequently,no,yes,stressed5
stressed,9,frequently,no,no,stressed5
stressed,9,frequently,unsure,yes,stressed5
stressed,9,frequently,unsure,no,stressed1
stressed,10,rarely,yes,yes,stressed1
